username	user_id	address	residence	name	job	company	blood_group	mail	ssn	current_location	registration	station_ID
bsaito	167	福井県横浜市磯子区丸の内ＪＰタワー7丁目17番15号 大京町パレス520		坂本 晃	検察官	有限会社加藤ガス	AB-	yyamada@gmail.com	729-73-2197	(Decimal('-4.6558885'), Decimal('-142.004537'))	2024-09-18	167
lesterangela	373	"4225 Kevin Knoll Suite 019
Robertstad, IA 47461"		Tommy Perry	Animal technologist	Jones, Hall and Skinner	B+	charlesbrown@yahoo.com	541-38-7923	(Decimal('88.6577465'), Decimal('-153.040860'))	04/26/2023, 00:00:00	619
ikedashota	551	奈良県小笠原村睦1丁目2番4号 コーポ卯の里127		佐藤 智也		吉田建設株式会社	A-	tanakamiki@hotmail.com	895-36-0135	(Decimal('-39.406022'), Decimal('-23.863964'))	05 Mar 2023	339
satomiki	575	沖縄県富里市京橋16丁目24番5号 木立シティ589		高橋 明美		有限会社山下鉱業	O-	yui92@yahoo.com	144-28-2820	(Decimal('-81.2785545'), Decimal('-102.751595'))	12 Apr 2023	739
abetaichi	439			加藤 舞	イラストレーター	石井ガス合同会社	O-	takumakimura@yahoo.com	451-43-0174	(Decimal('44.751933'), Decimal('117.007218'))	08 Feb 2022	166
eraldo25	1721	"Stretto Angeli, 730 Piano 3
05034, Ferentillo (TR)"		Giacomo Giacconi	Fisheries officer	Mazzeo SPA	B-	piergiorgio30@live.com	FRCGLN38B46I274R	(Decimal('-23.2818465'), Decimal('129.851920'))	2019-03-09	164
josephjordan	512	"911 Gonzales Expressway Suite 407
Cunninghamburgh, IN 42606"		Ashley Jones		Flynn-Warren	O-	barrettrandy@hotmail.com	762-36-3955	(Decimal('45.653857'), Decimal('-20.057141'))	27 Dec 2022	621
dlanfranchi	337			Sig. Gustavo Impastato		Giradello-Avogadro Group	O-	sgiannuzzi@tele2.it	TRNRMN83L21L193Y	(Decimal('35.5078015'), Decimal('-47.705282'))	2021-09-18	502
johnsondaniel	1589	"309 Cook Villages
Natashaburgh, ME 48463"		Timothy Williams		Adkins, Barnes and Moore	O-	drich@yahoo.com	045-49-7958	(Decimal('35.812929'), Decimal('152.331516'))	2021-07-01	362
yutashimizu	1128	兵庫県川崎市多摩区藤金10丁目7番1号 コート北青山421		石井 結衣		有限会社阿部情報	B-	shimizuyasuhiro@hotmail.com	257-28-5367	(Decimal('-79.4105805'), Decimal('-108.467526'))	2021-02-05	410
