address	job	company	blood_group	ssn	station_ID	current_latitude	current_longitude
福井県横浜市磯子区丸の内ＪＰタワー7丁目17番15号 大京町パレス520	検察官	有限会社加藤ガス	AB-	729-73-2197	167	-4.6558885	-142.004537
"4225 Kevin Knoll Suite 019
Robertstad, IA 47461"	Animal technologist	Jones, Hall and Skinner	B+	541-38-7923	619	88.6577465	-153.04086
奈良県小笠原村睦1丁目2番4号 コーポ卯の里127		吉田建設株式会社	A-	895-36-0135	339	-39.406022	-23.863964
沖縄県富里市京橋16丁目24番5号 木立シティ589		有限会社山下鉱業	O-	144-28-2820	739	-81.2785545	-102.751595
	イラストレーター	石井ガス合同会社	O-	451-43-0174	166	44.751933	117.007218
"Stretto Angeli, 730 Piano 3
05034, Ferentillo (TR)"	Fisheries officer	Mazzeo SPA	B-	FRCGLN38B46I274R	164	-23.2818465	129.85192
"911 Gonzales Expressway Suite 407
Cunninghamburgh, IN 42606"		Flynn-Warren	O-	762-36-3955	621	45.653857	-20.057141
		Giradello-Avogadro Group	O-	TRNRMN83L21L193Y	502	35.5078015	-47.705282
"309 Cook Villages
Natashaburgh, ME 48463"		Adkins, Barnes and Moore	O-	045-49-7958	362	35.812929	152.331516
兵庫県川崎市多摩区藤金10丁目7番1号 コート北青山421		有限会社阿部情報	B-	257-28-5367	410	-79.4105805	-108.467526
		Sgalambro-Bazzi Group	AB-	LTRNNI07T49I359E	480	20.745121	29.902771
"1385 Penny Unions
West Jeffrey, VA 89079"		Soto, Garcia and Smith	A-	640-28-6330	133	0.092959	156.788369
"837 Spencer View
Huangton, AS 24998"	Engineer, structural	Miller-Medina	B-	492-50-9128	738	45.41454	-174.712421
"Karoline-Schomber-Ring 63-33
84284 Pasewalk"		Gude	A+	211-60-8630	120	-73.63989	16.157185
	Psychologist, clinical	Morellato SPA	A+	SLRSLV27S41G205W	103	-71.2063135	-32.532482
"82475 Linda Row
New Linda, WV 39111"	Environmental health practitioner	Castillo PLC	B-	837-52-7082	699	-18.8049375	-148.315868
和歌山県長生郡白子町松浦町16丁目7番20号 シティ渡辺146		合同会社小林保険	B+	043-35-8216	53	-7.512892	44.438067
新潟県あきる野市睦26丁目8番15号 竜泉コート508	音楽家	株式会社木村水産	AB-	524-76-1287	476	76.924945	-12.378688
"Parque de Caldeira, 89
Conjunto Jardim Filadélfia
86388034 Viana de Cassiano / RS"		Aparecida	A+	16802794322	239	47.250793	101.260512
"Gülten-Haase-Gasse 6
38579 Belzig"		Beckmann	B-	841-81-3512	694	38.1036385	-11.260625
"1504 Kyle Trail Suite 566
West Jeffreyberg, AZ 64402"		Norton-Frye	O+	621-63-4807	127	-50.4942195	164.359116
"Killerstraße 7-9
27535 Düren"	Fleischer	Heß GmbH & Co. KG	AB+	476-21-9323	735	59.929975	84.175789
奈良県長生郡長南町勝どき9丁目2番2号		株式会社岡田情報	B+	854-35-9972	536	10.246909	145.786189
"Borgo Veltroni, 35
00043, Ciampino Aeroporto (RM)"	Higher education lecturer	Agnesi, Luzi e Rismondo e figli	O+	TRNGNN30M19G296Q	281	-31.0505925	-118.961452
"0133 Dennis Hollow
New Lisaton, OK 32898"		Salazar, Vaughn and Salinas	O-	114-06-6508	735	33.574167	-145.474182
"Campo Vargas, 40
Pindura Saia
59800295 Leão das Flores / PB"		Cavalcante Borges - ME	O+	05148267976	300	1.521958	110.498447
"58276 Irwin Vista Suite 654
New George, AK 70761"		Pearson, Kirby and Myers	A+	763-02-9421	270	27.8785675	-42.773799
"Viale Guidone, 59 Piano 9
10025, Pino Torinese (TO)"		Ammaniti, Manunta e Calvo SPA	B-	TNSMLD24B12F070J	138	36.9385705	140.952267
		Sabbatini-Lattuada s.r.l.	O-	BRBMRA54R02C715W	417	-57.3549135	106.054925
"USNS Hughes
FPO AA 02464"		Hernandez Inc	B-	709-96-6213	375	-25.53073	-166.86321
"Ute-Huhn-Weg 9
64190 Mainburg"		Hahn e.G.	AB+	828-67-8237	323	7.0921705	-111.570151
"Pátio de Barbosa, 114
Tiradentes
67704-401 Pires de Cavalcanti / SE"		Sales	A-	57324198619	94	8.067803	133.471663
"Natalja-Kallert-Allee 5-3
37835 Aschaffenburg"		Wende	B-	328-85-4252	35	64.364297	-143.373085
"Viela Leandro Ramos, 31
Belvedere
24927-474 Leão / ES"		Costa	AB+	21057386995	290	20.1081385	78.486854
"Viela Sousa, 1
Alto Das Antenas
27446-286 Araújo do Norte / RJ"	Cartógrafo	Pacheco	A+	90657342106	637	-87.2481225	-14.082739
	Instrumentador cirúrgico	Moura	O+	45198367273	637	-89.6458395	163.881767
"Trevo de Freitas, 744
Olhos D'água
67176-996 Guerra / SE"		Brito	B-	70531928659	336	39.564636	-167.486586
宮城県あきる野市長間28丁目18番19号 皇居外苑パーク182	電気工事士	株式会社岡本通信	O-	754-44-7138	785	-62.1212	-173.836279
"Viale Raffaella, 318
20099, Sesto San Giovanni (MI)"		Tremonti-Sauro Group	B+	DRSLSN50A67I686Z	197	13.097456	56.986969
"Strada Serafina, 6 Piano 0
67034, Pettorano Sul Gizio (AQ)"		Camiscione, Paoletti e Orsini s.r.l.	O+	PRCLDC79L71A478N	89	-61.2485655	-29.941092
"Vicolo Ottone, 951 Piano 7
22017, Menaggio (CO)"	Prison officer	Mannoia-Errigo s.r.l.	O-	MMOBLD12A67D253R	76	-32.774253	2.827085
